Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss),Correct,Wrong
section2_standard_Q4,Which device forwards packets based on IP addresses?,Text,Router,,,0:09,2026-01-05T14:53:00.904Z,2026-01-05T14:52:51.724Z,,x,
section2_standard_Q5,Which logic gate outputs true only when all inputs are true?,Text,AND,,,0:20,2026-01-05T14:53:20.953Z,2026-01-05T14:53:00.951Z,,x,
section2_standard_Q9,Which data structure uses hierarchical parent-child relationships?,Text,Tree,,,0:33,2026-01-05T14:53:54.978Z,2026-01-05T14:53:21.006Z,,x,
section3_control_Q3,Which type of software translates high-level code to machine code?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FD17ojtCGztVxasDNXMBYujIEp6T2%2Fsection3_control_Q3%2F1767625497341.webm?alt=media&token=41bb728c-e73f-456d-97e4-3a2acb1ba389,Compiler.,3:09,2026-01-05T15:04:58.247Z,2026-01-05T15:01:48.384Z,0:04,x,
section3_control_Q6,Which OOP concept allows subclasses to reuse parent methods?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FD17ojtCGztVxasDNXMBYujIEp6T2%2Fsection3_control_Q6%2F1767625515053.webm?alt=media&token=79480c08-1916-45e7-b88f-9e2cc8c21276,Inheritance.,0:17,2026-01-05T15:05:15.950Z,2026-01-05T15:04:58.301Z,0:04,x,
section3_control_Q8,Which command in Linux lists files and directories?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FD17ojtCGztVxasDNXMBYujIEp6T2%2Fsection3_control_Q8%2F1767625666597.webm?alt=media&token=976a991e-f975-474f-b907-1009c581450d,LS,0:20,2026-01-05T15:07:47.525Z,2026-01-05T15:07:26.697Z,0:03,x,
section3_standard_Q12,Which algorithm finds the shortest path in a weighted graph?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FD17ojtCGztVxasDNXMBYujIEp6T2%2Fsection3_standard_Q12%2F1767625307383.webm?alt=media&token=6d922c30-a0b9-400d-9ce4-ab4b6e7d5cd7,Dijkstra.,5:01,2026-01-05T15:01:48.328Z,2026-01-05T14:56:46.535Z,0:04,x,
section3_standard_Q3,Which software manages computer hardware?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FD17ojtCGztVxasDNXMBYujIEp6T2%2Fsection3_standard_Q3%2F1767624910431.webm?alt=media&token=1800d2b9-0708-4149-8e60-f860d4cef28f,Operating system.,0:23,2026-01-05T14:55:11.290Z,2026-01-05T14:54:47.751Z,0:03,x,
section3_standard_Q6,Which OOP concept allows the same method name with different parameters?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FD17ojtCGztVxasDNXMBYujIEp6T2%2Fsection3_standard_Q6%2F1767624949197.webm?alt=media&token=0e6fe5d5-4d5d-4989-8f18-9cce0f5c3919,Inheritance.,0:38,2026-01-05T14:55:49.955Z,2026-01-05T14:55:11.346Z,0:04,,x
section3_standard_Q8,Which Linux command changes the current directory?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FD17ojtCGztVxasDNXMBYujIEp6T2%2Fsection3_standard_Q8%2F1767625005725.webm?alt=media&token=59fd4941-ee64-4aed-8330-e988f89f598b,CD,0:27,2026-01-05T14:56:46.485Z,2026-01-05T14:56:18.625Z,0:03,x,
